 ,Country,Years of Participation,Total Athletes,Rank by Medals,Total Medals,Total Medals,   ,  ,  ,Rank by Points,Total Medal Points,Medals per Athlete,Average Rank by Year,Medals per Event
https://www.worldometers.info//img/flags/small/tn_ni-flag.gif,Nigeria,7,39,37,51,51,23,15,13,37,19,1.3076923076923077,23,1.8888888888888888
https://www.worldometers.info//img/flags/small/tn_cu-flag.gif,Cuba,5,24,38,44,44,27,8,9,38,18,1.8333333333333333,22.2,1.2571428571428571
https://www.worldometers.info//img/flags/small/tn_po-flag.gif,Portugal,9,34,39,29,29,8,12,9,39,10,0.8529411764705882,28.22222222222222,1.7058823529411764
https://www.worldometers.info//img/flags/small/tn_hu-flag.gif,Hungary,8,14,40,28,28,4,13,11,40,8,2,29,1.3333333333333333
https://www.worldometers.info//img/flags/small/tn_th-flag.gif,Thailand,4,15,41,15,15,6,4,5,41,5,1,31,1.3636363636363635
https://www.worldometers.info//img/flags/small/tn_ri-flag.gif,Serbia,5,12,42,14,14,6,3,5,42,5,1.1666666666666667,26.4,1.4
https://www.worldometers.info//img/flags/small/tn_aj-flag.gif,Azerbaijan,5,10,43,12,12,5,4,3,43,4,1.2,33.4,1.5
https://www.worldometers.info//img/flags/small/tn_tu-flag.gif,Turkey,4,21,43,12,12,6,2,4,44,4,0.5714285714285714,32.5,1
https://www.worldometers.info//img/flags/small/tn_ke-flag.gif,Kenya,2,7,45,10,10,5,4,1,45,4,1.4285714285714286,24,1.1111111111111112
https://www.worldometers.info//img/flags/small/tn_uz-flag.gif,Uzbekistan,1,14,45,10,10,3,1,6,46,3,0.7142857142857143,19,1.25
https://www.worldometers.info//img/flags/small/tn_id-flag.gif,Indonesia,2,8,47,8,8,2,1,5,48,2,1,21,1.1428571428571428
https://www.worldometers.info//img/flags/small/tn_gr-flag.gif,Greece,3,8,48,7,7,2,3,2,47,2,0.875,36.666666666666664,1.4
https://www.worldometers.info//img/flags/small/tn_bk-flag.gif,Bosnia & Herzegovina,5,22,49,5,5,2,3,0,49,2,0.22727272727272727,40,2.5
https://www.worldometers.info//img/flags/small/tn_iz-flag.gif,Iraq,3,5,49,5,5,1,2,2,53,2,1,37,1.6666666666666667
https://www.worldometers.info//img/flags/small/tn_ch-flag.gif,Taiwan,5,5,49,5,5,3,0,2,51,2,1,36.6,1.6666666666666667
https://www.worldometers.info//img/flags/small/tn_ae-flag.gif,United Arab Emirates,2,2,49,5,5,2,3,0,50,2,2.5,37,1.25
https://www.worldometers.info//img/flags/small/tn_ag-flag.gif,Algeria,2,3,53,4,4,3,0,1,52,2,1.3333333333333333,34,1.3333333333333333
https://www.worldometers.info//img/flags/small/tn_ku-flag.gif,Kuwait,3,3,53,4,4,0,1,3,59,1,1.3333333333333333,27.666666666666668,1
https://www.worldometers.info//img/flags/small/tn_sn-flag.gif,Singapore,2,1,53,4,4,0,1,3,59,1,4,35,1
https://www.worldometers.info//img/flags/small/tn_ar-flag.gif,Argentina,3,21,56,3,3,0,1,2,63,1,0.14285714285714285,41,1.5
https://www.worldometers.info//img/flags/small/tn_hr-flag.gif,Croatia,2,4,56,3,3,1,1,1,55,1,0.75,28.5,1
https://www.worldometers.info//img/flags/small/tn_lh-flag.gif,Lithuania,3,12,56,3,3,1,2,0,54,1,0.25,40.666666666666664,1.5
https://www.worldometers.info//img/flags/small/tn_my-flag.gif,Malaysia,2,3,56,3,3,0,2,1,56,1,1,33.5,1
https://www.worldometers.info//img/flags/small/tn_zi-flag.gif,Zimbabwe,2,3,56,3,3,0,2,1,56,1,1,25,1
https://www.worldometers.info//img/flags/small/tn_jo-flag.gif,Jordan,1,2,61,2,2,0,1,1,64,1,1,35,1
https://www.worldometers.info//img/flags/small/tn_si-flag.gif,Slovenia,1,2,61,2,2,1,1,0,56,1,1,40,2
https://www.worldometers.info//img/flags/small/tn_ve-flag.gif,Venezuela,1,3,61,2,2,1,0,1,61,1,0.6666666666666666,35,1
